고시년도,회차,개최일자,안건일련번호,소관부서,안건제목,심의결과,개요
2012,8,2012-05-02 0:00:00,1,주택정책실임대주택과,제기1주택재건축정비구역지정및 정비계획결정,미심의,"○위치:동대문구제기동892-68번지일대
 ○면적: 9,632.7㎡
 ○내용:아파트3개동359세대&nbsp;예정법정상한용적률(499.79%)"
2012,8,2012-05-02 0:00:00,3,도시계획국도시정비과,순화구역1-1구역도시환경정비구역변경지정,미심의,"○위치:중구순화동1-24
 ○면적: 13,112.9㎡
 ○내용:공동주택세대수변경(156세대→296세대)"
2001,1,2001-02-21 0:00:00,11,시설계획과,도시계획시설(하수도)결정,미심의,"구로구오류동332일대
 -폭: 6,9∼9.2ｍ,연장335ｍ"
2001,1,2001-02-21 0:00:00,15,시설계획과,도시계획시설(도로)변경결정,미심의,"충무로4가∼타워호텔
 -폭12ｍ,연장1,350→0ｍ"
2001,1,2001-02-21 0:00:00,13,시설계획과,도시계획시설(학교)변경결정,미심의,"광진구구의동60-45일대
 -면적: 8,020.5㎡
 -내용:고등국민학교→초등학교"
2001,1,2001-02-21 0:00:00,16,시설계획과,도시계획시설(도로)변경결정,미심의,"종로구충신동57∼성북구
 보문동218
 -폭12ｍ,연장1,400→0ｍ"
2001,1,2001-02-21 0:00:00,17,시설계획과,도시계획시설(녹지)변경결정,미심의,"용산구서빙고동133일대
 -면적: 9,000→9,032㎡"
2001,1,2001-02-21 0:00:00,18,시설계획과,"도시계획시설(주차장,공원)
 변경결정",미심의,"강동구천호동221-1일대
 -공원: 2,408㎡,주차장: 2,744
 →2,744㎡(지하)"
2001,1,2001-02-21 0:00:00,20,도시계획과,"자연경관지구안의건축물
 (학교)높이제한완화",미심의,"동대문구휘경동29-1외2필지
 (삼육간호보건대학)
 -면적: 29,232㎡
 -완화(높이) : 3층(12ｍ)
 →6층(21.6ｍ)"
2001,1,2001-02-21 0:00:00,21,도시계획과,"자연경관지구안의건축물
 (학교)높이제한완화",미심의,"동대문구회기동1-5외44필지
 (경희대학교)
 -면적: 404,577㎡
 -완화(높이) : 3층(12ｍ)
 →7층,5층"
2001,1,2001-02-21 0:00:00,22,도시계획과,"자연경관지구안의건축물
 (공용의청사)높이제한완화",미심의,"광진구자양동680-22
 (서울지방법원동부지원)
 -면적: 15,839.8㎡
 -완화(높이) : 3층(12ｍ)
 →3층(14.68ｍ)"
2001,1,2001-02-21 0:00:00,23,도시계획과,"용산지구단위계획구역
 변경결정및지구단위계획
 결정(안)",미심의,"중구봉래동(서울역)∼용산구
 한강로3가(한강대교북단)
 -면적: 3,310,000㎡"
2001,1,2001-02-21 0:00:00,24,재개발과,본동제2구역제3지구주택재개발구역변경(사업계획변경)지정,미심의,"동작구본동467일대
 -면적: 22,525㎡"
2001,1,2001-02-21 0:00:00,25,재개발과,답십리제15주택재개발구역지정,미심의,"동대문구답십리동498-7일대
 -면적: 4,816㎡"
2001,1,2001-02-21 0:00:00,26,재개발과,미아제3주거환경개선지구지정,미심의,"강북구미아동791-1724일대
 -면적: 15,776㎡"
2001,1,2001-02-21 0:00:00,27,재개발과,미아제4주거환경개선지구지정,미심의,"강북구미아동791-1395일대
 -면적: 22,127㎡"
2009,17,2009-10-21 0:00:00,8,도심재정비1담당관,서소문구역및서소문구역제5지구정비계획및도시환경정비구역지정(변경)결정,미심의,"○위치:중구서소문동85번지일대
 ○면적:서소문구역91,482.9㎡/제5지구2,436.6㎡
 ○내용:도시환경정비를위한정비계획(안)및구역
 지정(변경)심의"
2001,1,2001-02-21 0:00:00,14,시설계획과,도시계획시설(도로)변경결정,미심의,"마곡지구내3개소
 -폭20ｍ,연장7,525→1,940ｍ"
2002,7,2002-09-06 0:00:00,19,재개발과,"마포로1구역제9-1지구도심
 재개발구역변경결정",보류,"마포구도화동39-1외8필지
 -면적: 10,528.6㎡"
2004,1,2004-01-16 0:00:00,8,시설계획과,도시계획시설(시장)변경(폐지)결정,보류,"서초구방배동923-6일대
 -면 적: 3,300.6㎡
 -변경내용:시장폐지"
2004,1,2004-01-16 0:00:00,12,주택기획과,"상신아파트재건축사업을위한
 정비구역지정심의(안)",보류,"동작구사당동1000-8일대
 -면적: 21,026.4㎡"
2002,5,2002-05-22 0:00:00,2,시설계획과,도시계획시설(공원)변경결정,보류,"영등포구신길동895번지일대
 (메낙골공원)
 -규모: 51,470㎡→51,470㎡
 (위치변경)"
2002,5,2002-05-22 0:00:00,8,시설계획과,도시계획시설(철도)결정,보류,"지하철9호선여의도구간
 -본 선:영등포구당산동1-1번
 지∼여의도동2-6번지
 (연장2,087m,폭20∼28m)
 -정거장:영등포구여의도동1-
 1번지(규모10,226㎡)"
2002,5,2002-05-22 0:00:00,9,재개발과,서울역∼서대문2구역제2-1지구도심재개발구역변경결정,보류,"중구의주로1가21-1번지일대
 -면적: 3,129㎡"
2002,5,2002-05-22 0:00:00,10,재개발과,"마포로제1구역제46지구
 도심재개발구역변경결정",보류,"마포구신공덕동55-1번지일대
 -면적: 3,753.1㎡"
2003,5,2003-05-28 0:00:00,15,주거정비과,흑석제5주택재개발구역지정,보류,"동작구흑석동45-1일대
 -면적: 40,238㎡"
2002,2,2002-02-20 0:00:00,8,시설계획과,"도시계획시설(가스공급설비)
 변경결정",보류,"강서구염창동281번지일대
 -면적: 25,747㎡→0㎡"
2002,2,2002-02-20 0:00:00,11,시설계획과,자연경관지구내건축규제완화구역지정,보류,"종로구평창동148-21번지
 -면적: 1,303㎡"
2004,1,2004-01-16 0:00:00,6,시설계획과,"도시계획시설(자동차정류장,
 녹지)변경(폐지)결정",보류,"송파구거여동27-5일대
 -자동차정류장 : 8,849㎡
 -녹지 :폭3m,연장178m"
2003,7,2003-06-30 0:00:00,8,주거정비과,흑석제5주택재개발구역지정,보류,"동작구흑석동45-1일대
 -면적: 40,972㎡"
